antecedent,consequent,confidence,lift
ALARM CLOCK BAKELIKE GREEN,"ALARM CLOCK BAKELIKE PINK, ALARM CLOCK BAKELIKE CHOCOLATE",0.3529,15.1459
"ALARM CLOCK BAKELIKE GREEN, ALARM CLOCK BAKELIKE PINK",ALARM CLOCK BAKELIKE CHOCOLATE,0.6,15.0
DOLLY GIRL LUNCH BOX,"PLASTERS IN TIN SPACEBOY, SPACEBOY LUNCH BOX",0.2222,7.4067
"DOLLY GIRL LUNCH BOX, PLASTERS IN TIN SPACEBOY",SPACEBOY LUNCH BOX,0.8,7.2727
REGENCY TEA PLATE ROSES,"REGENCY TEAPOT ROSES, REGENCY SUGAR BOWL GREEN",0.6364,27.3133
"REGENCY TEA PLATE ROSES, REGENCY SUGAR BOWL GREEN",REGENCY TEAPOT ROSES,1.0,27.248
"ROUND SNACK BOXES SET OF4 WOODLAND, CIRCUS PARADE LUNCH BOX",SPACEBOY LUNCH BOX,1.0,9.0909
RED RETROSPOT BOWL,"BLUE POLKADOT BOWL, PINK POLKADOT BOWL",0.5,21.4592
"RED RETROSPOT BOWL, BLUE POLKADOT BOWL",PINK POLKADOT BOWL,0.7,21.021
"ROUND SNACK BOXES SET OF4 WOODLAND, PLASTERS IN TIN SPACEBOY",PLASTERS IN TIN CIRCUS PARADE,0.5833,9.2148
ROSES REGENCY TEACUP AND SAUCER,"REGENCY CAKESTAND 3 TIER, GREEN REGENCY TEACUP AND SAUCER",0.3684,13.7978
"ROSES REGENCY TEACUP AND SAUCER, GREEN REGENCY TEACUP AND SAUCER",REGENCY CAKESTAND 3 TIER,0.875,6.25
SET/20 RED RETROSPOT PAPER NAPKINS,"SET/6 RED SPOTTY PAPER PLATES, SET/6 RED SPOTTY PAPER CUPS",0.5882,17.6637
"SET/20 RED RETROSPOT PAPER NAPKINS, SET/6 RED SPOTTY PAPER PLATES",SET/6 RED SPOTTY PAPER CUPS,0.8333,20.8325
"DOLLY GIRL LUNCH BOX, ROUND SNACK BOXES SET OF4 WOODLAND",CIRCUS PARADE LUNCH BOX,0.4,5.997
ALARM CLOCK BAKELIKE GREEN,"ALARM CLOCK BAKELIKE RED, ALARM CLOCK BAKELIKE CHOCOLATE",0.5294,14.4251
"ALARM CLOCK BAKELIKE GREEN, ALARM CLOCK BAKELIKE RED",ALARM CLOCK BAKELIKE CHOCOLATE,0.6429,16.0725
ROUND SNACK BOXES SET OF 4 FRUITS,"POSTAGE, RED RETROSPOT MINI CASES",0.2609,7.109
"ROUND SNACK BOXES SET OF 4 FRUITS, POSTAGE",RED RETROSPOT MINI CASES,0.3529,6.621
ROUND SNACK BOXES SET OF 4 FRUITS,"POSTAGE, ROUND SNACK BOXES SET OF4 WOODLAND",0.6087,7.0208
"ROUND SNACK BOXES SET OF 4 FRUITS, POSTAGE",ROUND SNACK BOXES SET OF4 WOODLAND,0.8235,5.7467
"POSTAGE, CIRCUS PARADE LUNCH BOX",SPACEBOY LUNCH BOX,0.8889,8.0809
REGENCY TEA PLATE ROSES,"REGENCY MILK JUG PINK, REGENCY SUGAR BOWL GREEN",0.5455,27.275
"REGENCY TEA PLATE ROSES, REGENCY SUGAR BOWL GREEN",REGENCY MILK JUG PINK,0.8571,28.57
PLASTERS IN TIN WOODLAND ANIMALS,"ROUND SNACK BOXES SET OF4 WOODLAND, PLASTERS IN TIN SPACEBOY",0.4,10.0
"PLASTERS IN TIN WOODLAND ANIMALS, ROUND SNACK BOXES SET OF4 WOODLAND",PLASTERS IN TIN SPACEBOY,0.6667,8.6923
RED RETROSPOT BOWL,"RED RETROSPOT PLATE, BLUE POLKADOT PLATE",0.4286,18.3948
"RED RETROSPOT BOWL, BLUE POLKADOT PLATE",RED RETROSPOT PLATE,1.0,33.3333
DOLLY GIRL LUNCH BOX,"POSTAGE, SPACEBOY LUNCH BOX",0.4722,7.87
"DOLLY GIRL LUNCH BOX, POSTAGE",SPACEBOY LUNCH BOX,0.8095,7.3591
"POSTAGE, LUNCH BAG WOODLAND",ROUND SNACK BOXES SET OF4 WOODLAND,0.75,5.2338
"POSTAGE, ROUND SNACK BOXES SET OF4 WOODLAND",PLASTERS IN TIN STRONGMAN,0.2308,4.616
PACK OF 20 SKULL PAPER NAPKINS,"PACK OF 6 SKULL PAPER CUPS, PACK OF 6 SKULL PAPER PLATES",0.8571,36.7854
"PACK OF 20 SKULL PAPER NAPKINS, PACK OF 6 SKULL PAPER CUPS",PACK OF 6 SKULL PAPER PLATES,1.0,42.9185
"DOLLY GIRL LUNCH BOX, CIRCUS PARADE LUNCH BOX",PLASTERS IN TIN CIRCUS PARADE,0.4286,6.7709
DOLLY GIRL LUNCH BOX,"POSTAGE, ROUND SNACK BOXES SET OF4 WOODLAND",0.3333,3.8443
"DOLLY GIRL LUNCH BOX, POSTAGE",ROUND SNACK BOXES SET OF4 WOODLAND,0.5714,3.9874
"REGENCY CAKESTAND 3 TIER, PINK REGENCY TEACUP AND SAUCER",ROSES REGENCY TEACUP AND SAUCER,0.8889,14.0427
REGENCY TEAPOT ROSES,"REGENCY MILK JUG PINK, REGENCY SUGAR BOWL GREEN",0.5455,27.275
"REGENCY TEAPOT ROSES, REGENCY SUGAR BOWL GREEN",REGENCY MILK JUG PINK,0.8571,28.57
PLASTERS IN TIN CIRCUS PARADE,"PLASTERS IN TIN SPACEBOY, SPACEBOY LUNCH BOX",0.3158,10.5267
"PLASTERS IN TIN SPACEBOY, PLASTERS IN TIN CIRCUS PARADE",SPACEBOY LUNCH BOX,0.4615,4.1955
CHILDRENS CUTLERY SPACEBOY,"POSTAGE, CHILDRENS CUTLERY DOLLY GIRL",0.2857,12.2618
"CHILDRENS CUTLERY SPACEBOY, POSTAGE",CHILDRENS CUTLERY DOLLY GIRL,0.6667,13.334
PLASTERS IN TIN WOODLAND ANIMALS,"ROUND SNACK BOXES SET OF4 WOODLAND, PLASTERS IN TIN CIRCUS PARADE",0.4,13.3333
"PLASTERS IN TIN WOODLAND ANIMALS, ROUND SNACK BOXES SET OF4 WOODLAND",PLASTERS IN TIN CIRCUS PARADE,0.6667,10.5324
"POSTAGE, ROUND SNACK BOXES SET OF4 WOODLAND",PLASTERS IN TIN SPACEBOY,0.2692,3.5098
"ROUND SNACK BOXES SET OF4 WOODLAND, LUNCH BAG SPACEBOY DESIGN",LUNCH BAG RED RETROSPOT,0.8571,12.8501
"DOLLY GIRL LUNCH BOX, PLASTERS IN TIN SPACEBOY",PLASTERS IN TIN CIRCUS PARADE,0.7,11.0585
CHILDRENS CUTLERY CIRCUS PARADE,"CHILDRENS CUTLERY SPACEBOY, CHILDRENS CUTLERY DOLLY GIRL",0.75,17.321
"CHILDRENS CUTLERY CIRCUS PARADE, CHILDRENS CUTLERY SPACEBOY",CHILDRENS CUTLERY DOLLY GIRL,0.8182,16.364
DOLLY GIRL LUNCH BOX,"POSTAGE, CIRCUS PARADE LUNCH BOX",0.2222,7.4067
"DOLLY GIRL LUNCH BOX, POSTAGE",CIRCUS PARADE LUNCH BOX,0.381,5.7121
ROUND SNACK BOXES SET OF 4 FRUITS,"LUNCH BAG RED RETROSPOT, ROUND SNACK BOXES SET OF4 WOODLAND",0.2609,8.6967
"ROUND SNACK BOXES SET OF 4 FRUITS, LUNCH BAG RED RETROSPOT",ROUND SNACK BOXES SET OF4 WOODLAND,1.0,6.9784
ROUND SNACK BOXES SET OF 4 FRUITS,"LUNCH BAG WOODLAND, ROUND SNACK BOXES SET OF4 WOODLAND",0.2609,8.6967
"ROUND SNACK BOXES SET OF 4 FRUITS, LUNCH BAG WOODLAND",ROUND SNACK BOXES SET OF4 WOODLAND,1.0,6.9784
ROUND SNACK BOXES SET OF 4 FRUITS,"DOLLY GIRL LUNCH BOX, SPACEBOY LUNCH BOX",0.2609,3.0092
"ROUND SNACK BOXES SET OF 4 FRUITS, DOLLY GIRL LUNCH BOX",SPACEBOY LUNCH BOX,0.75,6.8182
ROUND SNACK BOXES SET OF 4 FRUITS,"ROUND SNACK BOXES SET OF4 WOODLAND, PLASTERS IN TIN STRONGMAN",0.2609,8.6967
